Gene,Category,AR2_Eigenvalue,AR2_R2,AR2_RootType,Cosinor_Amplitude,Cosinor_Phase,Cosinor_qValue,Cosinor_R2,Cosinor_Rhythmic,JTK_Tau,JTK_qValue,JTK_Period,JTK_Rhythmic,Agreement
Il31ra,Other,0.3515,0.082,Complex,0.388,14.9,0.7623,0.0372,False,-0.2008,1,20,False,"All agree: none"
Ddx4,Other,0.4975,0.0641,Real,2.0474,12.54,0.2857,0.1674,False,-0.3853,0.9062,20,False,"All agree: none"
Skiv2l2,Other,0.7379,0.4642,Real,9.0195,3.34,0.8475,0.0227,False,-0.1455,1,28,False,"AR(2) unique"
Gm10735,Other,0.4827,0.0728,Complex,1.1783,18.74,0.4189,0.1158,False,-0.2523,1,20,False,"All agree: none"
Gpx8,Other,0.4882,0.081,Complex,3.7752,2.9,0.4358,0.1108,False,0.2482,1,20,False,"All agree: none"
Gzma,Other,0.3131,0.0931,Complex,0.0478,11.28,0.9976,0.0003,False,0.1068,1,24,False,"All agree: none"
Gzmk,Other,0.3502,0.0283,Real,1.2679,13.51,0.2148,0.2022,False,-0.2868,1,28,False,"All agree: none"
Snx18,Other,0.7119,0.2853,Real,13.1757,2.87,0.5649,0.0769,False,0.2077,1,24,False,"AR(2) unique"
Hspb3,Other,0.4339,0.0333,Real,2.7241,14.01,0.0579,0.3289,False,-0.4249,0.4977,20,False,"All agree: none"
A430090L17Rik,Other,0.6425,0.12,Real,0.4873,13.75,0.7743,0.035,False,-0.2647,1,20,False,"AR(2) unique"
Ndufs4,Other,0.7714,0.3196,Real,206.4251,11.58,0.0068,0.4833,True,-0.4964,0.1482,28,False,"Partial"
Fst,Other,0.3792,0.0304,Complex,7.8003,3.46,0.769,0.036,False,0.2596,1,20,False,"All agree: none"
Itga2,Other,0.5263,0.0728,Real,5.0078,14.69,0.1311,0.2536,False,-0.2847,1,24,False,"AR(2) unique"
Itga1,Other,0.8099,0.4439,Real,16.1637,4.41,0.6832,0.0518,False,0.2182,1,28,False,"AR(2) unique"
Pelo,Other,0.2288,0.005,Complex,7.112,11.87,0.107,0.2738,False,-0.3825,0.9062,24,False,"All agree: none"
Gm10733,Other,0.3778,0.0418,Complex,0.2889,16.89,0.79,0.0322,False,-0.151,1,20,False,"All agree: none"
Isl1,Other,0.5112,0.0692,Complex,0.9082,11.7,0.5704,0.0757,False,0.3504,1,28,False,"AR(2) unique"
Parp8,Other,0.0688,0.0015,Complex,2.4212,13.78,0.7879,0.0326,False,-0.1792,1,20,False,"All agree: none"
Gm17509,Other,0.5971,0.1538,Real,1.3826,14.89,0.6528,0.0578,False,0.2077,1,28,False,"AR(2) unique"
Gm10732,Other,0.3986,0.0555,Complex,2.2104,14.1,0.2299,0.1943,False,-0.4103,0.621,20,False,"All agree: none"
Nnt,Other,0.504,0.0763,Real,24.0628,4.38,0.3611,0.1354,False,-0.2327,1,28,False,"AR(2) unique"
Gm9752,Other,0.5839,0.0999,Real,2.3154,12.87,0.0385,0.3615,True,-0.4412,0.3955,24,False,"Partial"
3110070M22Rik,Other,0.8294,0.388,Real,0.457,9.69,0.9902,0.0013,False,-0.0984,1,24,False,"AR(2) unique"
Zfp131,Other,0.7352,0.2427,Real,7.5819,18.62,0.7181,0.0452,False,0.127,1,28,False,"AR(2) unique"
Nim1k,Other,0.3841,0.0218,Real,4.9647,19.95,0.1562,0.2361,False,-0.4599,0.2761,20,False,"All agree: none"
Hmgcs1,Other,0.5882,0.4355,Real,1429.5012,22.59,0.0001,0.7151,True,0.6351,0.0109,20,True,"All agree"
1700084P21Rik,Other,0.5815,0.0954,Real,3.3456,13.31,0.0563,0.3313,False,0.479,0.2043,28,False,"AR(2) unique"
