dataset,gene,category,n_tp,ar2_ols_mod,ar2_ols_r2,ar2_ols_aic,ar2_ols_b1,ar2_ols_b2,sarimax_mod,sarimax_aic,sarimax_b1,sarimax_b2,ll_mod,ll_aic
GSE11923_Liver_48h,Per1,clock,48,0.702950644771233,0.4012438599760416,481.54627913296906,0.5716812007934766,0.09227594028292511,0.702950644771233,,0.5716812007934766,0.09227594028292511,0.5862511098360369,629.4394844444537
GSE11923_Liver_48h,Ell2,background,48,0.417871940412354,0.2667520445011555,677.3857553760002,0.5312274269704411,-0.04736807712441439,,,0.5312274269704411,,0.43624885628390897,835.9679708039514
GSE11923_Liver_48h,Usp9y,background,48,0.8206713749997472,0.35564669907257496,46.61915028472552,0.4570004801178703,0.2984542933500983,0.8206713749997471,,0.45700048011787026,0.2984542933500984,1.0158977397967195,175.36654432033146
GSE11923_Liver_48h,Spata9,background,48,0.8272560337268292,0.3121231875137399,80.0774570946163,0.42805558462836846,0.33024098018316167,0.8272560337268292,,0.4280555846283685,0.3302409801831616,1.0622660505403927,209.50172350196746
GSE11923_Liver_48h,Nlrp5-ps,background,48,0.6735710012718178,0.17392406652441716,179.18637108358905,0.1652907453582328,0.34236284090240915,0.6735710012718177,,0.1652907453582328,0.3423628409024091,0.849741329177969,320.1669933846124
GSE11923_Liver_48h,Meikin,background,48,0.8512477785604922,0.5604026841142207,33.47799413226187,0.6217828451352191,0.19533151483579483,0.8512477785604919,,0.6217828451352191,0.1953315148357948,0.9578552425360284,164.91252076466938
GSE11923_Liver_48h,Zfp11,background,48,0.6755410760566828,0.15726706230646526,230.40565827756822,0.0981679053391899,0.39003929303275386,0.6755410760566828,,0.0981679053391899,0.3900392930327539,0.9411626066418235,370.2914946673554
GSE11923_Liver_48h,Nhlrc3,background,48,0.5651538326650147,0.18085086583769716,477.25247583906463,0.3744299516346159,0.10778833234507622,0.5651538326650147,,0.3744299516346159,0.10778833234507622,0.7971855929274484,626.1759619993545
GSE11923_Liver_48h,9530029O12Rik,background,48,0.3867647094980229,0.12188641448678184,488.2711506222465,0.3429731634239973,0.016937024595789798,0.3867647094980229,,0.3429731634239973,0.016937024595789794,0.8646070164960571,632.9315622319359
GSE11923_Liver_48h,Ankrd13a,background,48,0.2666616602171867,0.009169628706625632,541.5872743326447,0.07321438751745332,-0.07110844102978633,,,0.07321438751745332,,0.9411131873513892,689.9671768110802
GSE179027_MouseEnteroid,Pparg,target,24,0.39033411752304226,0.0190896163964015,38.252857942175176,-0.03190018758425835,0.13990899173297117,0.39033411752304226,,-0.03190018758425835,0.13990899173297117,0.968413992392016,106.61965594762503
GSE179027_MouseEnteroid,Fbxo7,background,24,0.4067134716752396,0.036101090009306724,20.70860583058083,-0.1290986873734814,-0.16541584804212592,,,-0.1290986873734814,,0.9559794434294603,88.79356649786855
GSE179027_MouseEnteroid,Tmem25,background,24,0.705392032878818,0.1920742866131201,-49.207237102676764,-0.07205267268515161,0.44675253878918036,0.8463411167638881,22.21341521729454,0.7376245122709243,0.09201133245735296,0.9301804777307836,18.097307072893983
GSE179027_MouseEnteroid,Bax,target,24,0.8509878852143864,0.6041773855164447,116.76930254196785,0.6374817464953485,0.18169113746880344,0.8509878852143864,,0.6374817464953485,0.18169113746880347,0.9691984480442982,186.82521312886456
GSE179027_MouseEnteroid,Tmed4,background,24,0.9823171913701412,0.6745177571677567,66.90067484007622,0.19381981833808715,0.7745545248795819,0.9823171913701413,,0.19381981833808717,0.7745545248795819,1.0311049930554121,142.22700534823454
GSE179027_MouseEnteroid,Arhgef18,background,24,0.5661870336232635,0.08796517694277095,11.216941991169985,0.21826454883186852,0.19698919959487488,0.5661870336232634,,0.2182645488318685,0.19698919959487485,0.9623533380176247,74.94715441587009
GSE179027_MouseEnteroid,Qrich1,background,24,0.6452109539266865,0.17731257622404573,27.454621479483663,0.3069503427484903,0.21824945161410797,0.6452109539266865,,0.3069503427484903,0.21824945161410797,0.7632584187595738,96.94757234295561
GSE179027_MouseEnteroid,Nfe2l2,background,24,0.7996769411117182,0.5995414203282148,82.94343939946899,0.3766847680477171,0.3382570870700189,0.7996769411117182,,0.3766847680477171,0.33825708707001895,0.8931917889860024,156.77865538093707
GSE179027_MouseEnteroid,Abr,background,24,0.7368981885130981,0.357228089445511,65.12603936812782,0.3294150432832992,0.30027359156945854,0.7368981885130981,,0.3294150432832992,0.3002735915694585,0.9351064730595953,134.2501745169601
GSE179027_MouseEnteroid,Birc5,target,24,0.38817328338507034,0.02706078822308533,101.76985827645512,-0.1129524990878072,0.10683335549648282,0.3881732833850703,,-0.1129524990878072,0.1068333554964828,0.9250210944919591,172.3896044945718
GSE179027_MouseEnteroid,Gid4,background,24,0.5209365879701475,0.0726506459201236,4.54796379564956,-0.045354886825814844,-0.27137492868597923,,,-0.04535488682581485,,0.8608301257332897,72.53490781308258
GSE179027_MouseEnteroid,Cwc25,background,24,0.7854675269504565,0.2575818670364517,-17.81069881916032,0.25669963568805576,0.41533000788068575,0.7854675269504565,,0.25669963568805576,0.41533000788068575,0.9382636572769227,50.33722970937282
GSE179027_MouseEnteroid,Cd68,background,24,0.36263262011036634,0.018787711789338024,3.6286169832060207,0.07368106991593815,-0.13150241716810926,,,0.07368106991593816,,0.8893596312846658,70.0408134051034
GSE179027_MouseEnteroid,Cdk1,target,24,0.911109364171514,0.5540464162864305,105.16743532581613,0.394091813612948,0.4710595317549286,0.911109364171514,,0.394091813612948,0.4710595317549286,0.9890061398773959,180.10449060224343
GSE179027_MouseEnteroid,Cry1,clock,24,0.5118163605829179,0.517565288782012,28.31526535059125,0.9004692941567818,-0.26195598696034345,,,0.9004692941567818,,0.5118163607258842,97.00652160239709
GSE179027_MouseEnteroid,Sirt1,target,24,0.5461067113629038,0.09376650513656881,11.725733664062417,0.18811086020575069,0.19550393695699647,0.5461067113629038,,0.18811086020575069,0.19550393695699647,0.8906141415394846,76.70130189347432
GSE179027_MouseEnteroid,Mdm2,target,24,0.2152541376910791,0.006024125521568613,56.67623493520139,-0.06519861356956179,-0.046334343793130034,,,-0.06519861356956178,,0.9997534697259984,124.65966734826645
