gene_id	eigenvalue	R2	beta1	beta2	complex	mean_expr	starvation_maintenance
ECB_01029	0.8113	-0.163	0.8264	0.0309	N	7.2	1.8462
ECB_03271	0.7658	-0.224	0.9167	-0.0470	N	7.3	0.9063
ECB_00684	0.7274	0.329	1.2423	-0.3278	N	897.6	0.1483
ECB_01089	0.6640	0.386	1.1385	-0.2385	N	1021.1	0.0717
ECB_02503	0.8134	-0.268	0.8268	0.0302	N	51.1	0.4988
ECB_00095	0.9927	0.291	1.0417	-0.1550	N	678.6	0.0874
ECB_03211	0.6277	-0.493	0.6999	0.1394	N	15.9	0.7020
ECB_04210	0.9173	-0.635	0.7065	0.1337	N	13.2	0.8705
ECB_00215	0.8427	-0.351	0.7880	0.0634	N	28.0	0.6398
ECB_04236	0.5463	0.044	0.8887	-0.0233	N	68.7	0.2255
ECB_01241	0.7832	0.329	1.0577	-0.1691	N	105.2	0.1760
ECB_04189	0.7822	-0.318	0.8830	-0.0185	N	4.6	2.1279
ECB_02562	0.8493	-0.061	1.0933	-0.1998	N	7.1	0.8400
ECB_02393	0.9937	-0.012	1.0136	-0.1311	N	114.6	0.3506
ECB_03141	0.8247	0.123	0.8761	-0.0128	N	82.4	0.1423
ECB_01224	0.8204	0.256	1.0353	-0.1499	N	3232.9	0.0498
ECB_03162	0.9222	0.535	1.2348	-0.3218	N	3780.5	0.0300
ECB_03794	0.9327	0.401	1.1818	-0.2762	N	816.5	0.0688
ECB_01016	0.7932	-0.122	1.0162	-0.1337	N	16.4	0.7630
ECB_02717	0.9872	-0.401	0.8443	0.0144	N	7.8	0.7857
ECB_02275	0.8974	-0.484	0.9484	-0.0753	N	3.6	3.0000
ECB_04204	0.7598	-0.287	1.0295	-0.1452	N	17.2	5.3675
ECB_04060	0.9972	-0.190	0.7205	0.1207	N	2.0	1.6304
ECB_02059	0.9881	0.079	1.1367	-0.2376	N	7.2	0.5318
ECB_03409	0.7000	-0.381	0.8932	-0.0281	N	9.2	1.1739
ECB_01321	0.9884	0.058	1.1202	-0.2235	N	69.2	0.5903
ECB_03891	0.8172	0.445	1.1603	-0.2581	N	1337.3	0.0578
ECB_03365	0.5737	-0.464	0.7833	0.0662	N	4.5	1.9884
ECB_01642	0.7490	-0.365	0.8001	0.0517	N	4.6	4.6731
ECB_02465	0.6300	-0.185	0.9027	-0.0366	N	249.4	0.4521
ECB_02386	0.6929	-0.132	0.9022	-0.0362	N	104.8	0.3844
ECB_00804	0.9497	-0.375	0.8268	0.0283	N	6.0	1.3750
ECB_00514	0.7285	0.162	0.2474	0.5263	N	2.4	0.2903
ECB_00633	0.7562	0.301	1.2401	-0.3271	N	88.5	0.2769
ECB_03714	0.8283	0.477	1.6584	-0.7386	Y	3.3	1.3077
ECB_00761	0.7849	-0.327	0.7877	0.0616	N	43.9	0.3770
ECB_01801	0.8174	0.339	1.0562	-0.1693	N	468.0	0.0987
ECB_01823	0.9852	0.342	1.0513	-0.1651	N	449.4	0.0747
ECB_02985	0.8035	-0.526	0.8642	-0.0044	N	3.4	5.1000
ECB_01384	0.8959	-0.317	0.9777	-0.1020	N	36.4	1.7479
ECB_02658	0.8258	0.045	0.6586	0.1721	N	10.7	0.3398
ECB_03307	0.9230	0.076	0.9511	-0.0791	N	268.6	0.2319
RF01813.2	0.9843	-0.030	1.0522	-0.1660	N	10.9	1.0331
